TABLE,Region NewtonPadrao_64,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.030327,
call count,1,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,29219490
CPU_CLOCKS_UNHALTED,PMC1,26717250
RETIRED_UOPS,PMC2,30596730
RETIRED_FLOPS_DOUBLE_ALL,PMC3,9312648
TABLE,Region NewtonPadrao_64,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0303,
Runtime unhalted [s],0.0076,
DP [MFLOP/s],307.0708,
CPI,0.9144,
CPI (based on uops),0.8732,
IPC,1.0937,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_Gradiente_64,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000025,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,385824
CPU_CLOCKS_UNHALTED,PMC1,1555949
RETIRED_UOPS,PMC2,532755
RETIRED_FLOPS_DOUBLE_ALL,PMC3,35751
TABLE,Region NewtonPadrao_Gradiente_64,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],2.509913e-05,
Runtime unhalted [s],0.0004,
DP [MFLOP/s],1424.3920,
CPI,4.0328,
CPI (based on uops),2.9206,
IPC,0.2480,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_Hessiana_64,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.001274,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,6164124
CPU_CLOCKS_UNHALTED,PMC1,5140850
RETIRED_UOPS,PMC2,6516955
RETIRED_FLOPS_DOUBLE_ALL,PMC3,22899
TABLE,Region NewtonPadrao_Hessiana_64,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0013,
Runtime unhalted [s],0.0015,
DP [MFLOP/s],17.9688,
CPI,0.8340,
CPI (based on uops),0.7888,
IPC,1.1990,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_SL_64,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.003870,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,21794920
CPU_CLOCKS_UNHALTED,PMC1,15497260
RETIRED_UOPS,PMC2,22252050
RETIRED_FLOPS_DOUBLE_ALL,PMC3,9222840
TABLE,Region NewtonPadrao_SL_64,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0039,
Runtime unhalted [s],0.0044,
DP [MFLOP/s],2383.1868,
CPI,0.7110,
CPI (based on uops),0.6964,
IPC,1.4064,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_64,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.038229,
call count,1,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,62448310
CPU_CLOCKS_UNHALTED,PMC1,56984450
RETIRED_UOPS,PMC2,63824700
RETIRED_FLOPS_DOUBLE_ALL,PMC3,13057620
TABLE,Region NewtonInexato_64,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0382,
Runtime unhalted [s],0.0163,
DP [MFLOP/s],341.5599,
CPI,0.9125,
CPI (based on uops),0.8928,
IPC,1.0959,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_Gradiente_64,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000026,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,386436
CPU_CLOCKS_UNHALTED,PMC1,1545636
RETIRED_UOPS,PMC2,533644
RETIRED_FLOPS_DOUBLE_ALL,PMC3,35751
TABLE,Region NewtonInexato_Gradiente_64,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],2.572108e-05,
Runtime unhalted [s],0.0004,
DP [MFLOP/s],1389.9494,
CPI,3.9997,
CPI (based on uops),2.8964,
IPC,0.2500,
STRUCT,Info,3
